domain,n_problem,MRW_time_spent,MRW_plan_length,HSP_time_spent,HSP_plan_length
domain_blocks.pddl,p005.pddl,437.0,14,15.0,10
domain_blocks.pddl,p010.pddl,2202.0,28,38.0,20
domain_blocks.pddl,p001.pddl,17.0,10,4.0,6
domain_blocks.pddl,p009.pddl,2558.0,40,21.0,20
domain_blocks.pddl,p008.pddl,140.0,14,5.0,10
domain_blocks.pddl,p003.pddl,137.0,22,3.0,12
domain_blocks.pddl,p007.pddl,133.0,14,5.0,12
domain_blocks.pddl,p006.pddl,191.0,22,2.0,16
domain_blocks.pddl,p004.pddl,99.0,16,4.0,12
domain_depots.pddl,p04.pddl,53828.0,79,4309.0,30
domain_depots.pddl,p07.pddl,2697.0,42,172.0,21
domain_depots.pddl,p03.pddl,2803.0,54,562.0,29
domain_depots.pddl,p01.pddl,127.0,20,5.0,10
domain_depots.pddl,p02.pddl,625.0,24,14.0,15
